"idarvore";"dap";"ht";"vcc"
1;6,366197724;12,4;0,0220362252464385
2;7,289296394;13,4;0,0321718573723805
3;8,689859893;15,2;0,0460338651451465
4;10,09042339;18,4;0,0777794622687207
5;12,28676161;23,8;0,152604003677361
6;14,16478994;25,7;0,213836321819867
7;15,21521256;26,5;0,253553829514847
8;16,90225496;27,3;0,320813232177147
9;18,08000154;27,9;0,368469518128976
10;19,89436789;28,4;0,439953606400546
11;4,901972247;8,4;0,00891408905647764
12;8,116902098;14,7;0,0401139508443702
13;8,785352859;16,1;0,0505096473524714
14;12,0321137;19,9;0,110910061893928
15;13,20986028;23,2;0,159772434143378
16;14,35577587;24,9;0,211552798350062
17;18,14366351;28,7;0,389303862154906
18;18,23915648;28,5;0,378423272886901
19;21,16760743;29,5;0,51249445594688
20;23,74591751;30,5;0,657559842616867
21;5,888732894;13,1;0,0204925278261763
22;7,448451337;15,3;0,0360188464942723
23;9,485634608;17,1;0,064200412734135
24;10,0585924;19,9;0,078334037817769
25;12,00028271;21,8;0,122379370092581
26;13,30535324;22,9;0,157386442280498
27;15,34253651;24,6;0,220029457424528
28;16,2338042;25,2;0,24857466489273
29;17,98450857;25,9;0,302532613222616
30;19,76704393;26,7;0,382001067874842
31;5,252113122;9,5;0,0123046217397528
32;6,525352667;12,1;0,0229388501467261
33;8,944507802;16,2;0,051197500418364
34;10,85436712;19,5;0,0881650887655257
35;11,26816997;21,4;0,105217781531306
36;13,973804;25,1;0,190751956068607
37;14,70591674;25,1;0,207602612429702
38;16,90225496;27,4;0,291422197403224
39;17,66619868;27,3;0,31860872613105
40;21,23126941;27,9;0,449525249705828
41;6,493521678;12,3;0,0227364702928136
42;8,403380995;16,8;0,0481053888141968
43;9,708451529;20,2;0,0717195279710913
44;12,41408556;22,7;0,135485899699027
45;14,03746598;24,9;0,187765869149888
46;15,31070553;26,6;0,226274266075014
47;16,61577606;26,5;0,273874265606415
48;19,38507207;27,7;0,380291565969103
49;21,67690325;29,1;0,4949554253996
50;23,26845268;29,9;0,590133652070234
51;5,474930042;11,1;0,0154999404656192
52;7,130141451;13,2;0,0290820897105293
53;10,0585924;18,3;0,0747325260563951
54;12,00028271;21,2;0,122005495186645
55;12,82788841;22,1;0,142259537433075
56;16,2338042;26,8;0,280268956507193
57;16,90225496;27,2;0,303145529151772
58;19,73521294;28,4;0,414643547654041
59;20,43549469;29,1;0,468424583309623
60;22,28169203;29,7;0,544528202456682
