"idarvore";"dap";"ht";"vcc"
1;6,3;10,5;0,0184283458513411
2;6,6;11,6;0,0212100622823359
3;9,1;15,1;0,0480323928892739
4;10,2;16,2;0,0642071349580568
5;12,5;20,6;0,129116708501781
6;13,3;21,1;0,154005530402637
7;15,1;23,1;0,215559107816593
8;17,3;23,1;0,274894238209575
9;17,8;23,8;0,302175760914592
10;19,4;24,2;0,3683989864242
11;6,5;11,5;0,0204767927087532
12;7,4;11,1;0,0243367267412363
13;10,2;15,2;0,0566027953910192
14;11,1;18,2;0,0833971886831007
15;13,5;20,2;0,13984798465069
16;14,5;21,7;0,168066830918242
17;16,3;23,8;0,226986888215878
18;18,8;22,8;0,30340814469732
19;20,4;23,9;0,355154512229723
20;22,4;23,3;0,423184193961749
21;6,2;9,7;0,0161573842514239
22;8,2;11,7;0,0334280985603774
23;10,2;15,5;0,0657680978393332
24;10,9;18,7;0,086271403485723
25;13,1;21,5;0,1504075977501
26;14,9;21,7;0,190116160937266
27;16,4;26,4;0,282146473002435
28;18,3;26,8;0,343482081459216
29;21,7;29,4;0,524630138874612
30;22,9;29,5;0,56928307382118
31;5,7;9,7;0,0137171305963043
32;7,6;15,9;0,0370845624671885
33;8,5;14,6;0,0419696021715843
34;10,2;17,7;0,0689813572563901
35;12,7;21,3;0,131283359240407
36;13,8;23,4;0,177217403268019
37;15,7;26,9;0,27630767903654
38;17,4;28,1;0,33830289338803
39;18,5;28,8;0,381952235590189
40;20,8;29,5;0,486558849125564
41;5,7;8,5;0,012313324297411
42;7,4;9,4;0,0216121479368654
43;9,5;16,8;0,062455267083062
44;9,8;14,7;0,0559748683476457
45;11,6;20,1;0,105030261472424
46;13,2;21,6;0,149415136495584
47;14,4;23,3;0,196961309151949
48;16,1;26,6;0,280406774842105
49;17,8;27,7;0,357856198983826
50;20,9;28,9;0,491992627752409
