"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
1;1,3;2;0,031038935;0,016336282;18,39;18,39;28,1;28,1;17,56;17,63;17,2592315861253;17,0200920319535;0,0160714147780767
1;2;3;0,016336282;0,021488494;18,39;18,39;28,1;28,1;17,63;17,16;17,0200920319535;16,5659609723259;0,022142862926828
1;3;4;0,021488494;0,022493803;18,39;18,39;28,1;28,1;17,16;16,49;16,5659609723259;16,2141576495355;0,021025587395606
1;4;5;0,022493803;0,020734512;18,39;18,39;28,1;28,1;16,49;16,23;16,2141576495355;15,7780016597611;0,0201658977578575
1;5;6;0,020734512;0,019100883;18,39;18,39;28,1;28,1;16,23;15,55;15,7780016597611;15,4628188033459;0,0190781884075315
1;6;7;0,019100883;0,018472565;18,39;18,39;28,1;28,1;15,55;15,47;15,4628188033459;15,0048125898939;0,0183212229055884
1;7;8;0,018472565;0,018221237;18,39;18,39;28,1;28,1;15,47;14,74;15,0048125898939;14,6242808787866;0,0172272459398729
1;8;9;0,018221237;0,016838937;18,39;18,39;28,1;28,1;14,74;14,54;14,6242808787866;14,1896845734752;0,0163379140898129
1;9;11;0,016838937;0,029782298;18,39;18,39;28,1;28,1;14,54;13,64;14,1896845734752;13,3703176691888;0,030233518216062
1;11;13;0,029782298;0,027520352;18,39;18,39;28,1;28,1;13,64;12,77;13,3703176691888;12,4399512352356;0,0261869800322448
1;13;16;0,027520352;0,0325469;18,39;18,39;28,1;28,1;12,77;10,75;12,4399512352356;10,7803962053719;0,0323473738458611
1;16;20;0,0325469;0,028651325;18,39;18,39;28,1;28,1;10,75;8,26;10,7803962053719;8,22239374064741;0,0287699114349409
1;20;25;0,028651325;0,017341591;18,39;18,39;28,1;28,1;8,26;5,01;8,22239374064741;4,31431920376629;0,0163282937532839
2;1,3;2;0,038704421;0,019980529;21,11;21,11;28,1;28,1;19,82;19,54;19,7442754570826;19,3984987976072;0,0210244614092635
2;2;3;0,019980529;0,027646015;21,11;21,11;28,1;28,1;19,54;18,41;19,3984987976072;18,8720826620015;0,0287387408235346
2;3;4;0,027646015;0,026389378;21,11;21,11;28,1;28,1;18,41;18,02;18,8720826620015;18,3996445054143;0,0272665977723622
2;4;5;0,026389378;0,025258405;21,11;21,11;28,1;28,1;18,02;17,36;18,3996445054143;17,9553397973802;0,0259441435453303
2;5;6;0,025258405;0,02375044;21,11;21,11;28,1;28,1;17,36;17,47;17,9553397973802;17,5071360083508;0,0246912549635003
2;6;7;0,02375044;0,021865485;21,11;21,11;28,1;28,1;17,47;16,93;17,5071360083508;17,0433821567565;0,0234650690171327
2;7;8;0,021865485;0,021865485;21,11;21,11;28,1;28,1;16,93;16,37;17,0433821567565;16,5914443165318;0,0222122602107526
2;8;9;0,021865485;0,019980529;21,11;21,11;28,1;28,1;16,37;16,12;16,5914443165318;16,1138947419389;0,0210149591553405
2;9;10;0,019980529;0,019729202;21,11;21,11;28,1;28,1;16,12;15,47;16,1138947419389;15,6437970548749;0,0197824416519894
2;10;11;0,019729202;0,01897522;21,11;21,11;28,1;28,1;15,47;15,01;15,6437970548749;15,1248399711573;0,0186056526333891
2;11;12;0,01897522;0,016587609;21,11;21,11;28,1;28,1;15,01;14,51;15,1248399711573;14,5798275437462;0,0173433863171504
2;12;14;0,016587609;0,029907962;21,11;21,11;28,1;28,1;14,51;13,33;14,5798275437462;13,4802330042179;0,0309301284808648
2;14;16;0,029907962;0,025007078;21,11;21,11;28,1;28,1;13,33;12,05;13,4802330042179;12,1635631639161;0,0258817356120416
