"arv";"hi1";"hi2";"xvisc1";"xvisc2";"dap1";"dap2";"ht1";"ht2";"disc1";"disc2";"dmte1";"dmte2";"vmte"
44;1,3;2;0,0495115;0,027520352;23,48;23,48;26,5;26,5;22,08;21,32;21,9998171570378;21,4876318391795;0,025995894131143
44;2;3;0,027520352;0,03593982;23,48;23,48;26,5;26,5;21,32;21,23;21,4876318391795;20,8174623238164;0,0351079945822717
44;3;4;0,03593982;0,032798227;23,48;23,48;26,5;26,5;21,23;20,06;20,8174623238164;20,2321341238423;0,0330601011861073
44;4;5;0,032798227;0,029530971;23,48;23,48;26,5;26,5;20,06;19,9;20,2321341238423;19,650141859257;0,0312403806880774
44;5;6;0,029530971;0,028023006;23,48;23,48;26,5;26,5;19,9;19,57;19,650141859257;19,0574535399203;0,02945972575949
44;6;7;0,028023006;0,026892033;23,48;23,48;26,5;26,5;19,57;18,04;19,0574535399203;18,494194945259;0,0276783866217838
44;7;9;0,026892033;0,046621235;23,48;23,48;26,5;26,5;18,04;17,07;18,494194945259;17,3160409730913;0,050454699390485
44;9;11;0,046621235;0,039081413;23,48;23,48;26,5;26,5;17,07;15,38;17,3160409730913;16,0315480363377;0,0437187064671532
44;11;14;0,039081413;0,046746899;23,48;23,48;26,5;26,5;15,38;13,55;16,0315480363377;13,8902709130981;0,052977838074036
44;14;18;0,046746899;0,040212386;23,48;23,48;26,5;26,5;13,55;9,84;13,8902709130981;10,7441377939595;0,0481500417727957
44;18;23;0,040212386;0,02236814;23,48;23,48;26,5;26,5;9,84;4,88;10,7441377939595;6,05611515383211;0,0293185116955008
45;3;6;0,052150438;0,047752208;17,22;17,22;26,7;26,7;14,82;13,69;15,2994173829286;14,0235183098772;0,0506913329909998
45;6;10;0,047752208;0,050642474;17,22;17,22;26,7;26,7;13,69;11,87;14,0235183098772;12,3012703146741;0,054675573321541
45;10;16;0,050642474;0,051899111;17,22;17,22;26,7;26,7;11,87;8,82;12,3012703146741;9,16540849987269;0,0551749018653189
45;16;23;0,051899111;0,02814867;17,22;17,22;26,7;26,7;8,82;4,76;9,16540849987269;4,605668475515;0,0279590066987101
46;2;5;0,032169909;0,043856633;15,71;15,71;26,3;26,3;14,52;13,21;14,4085297376135;13,1829892424959;0,0447513456772984
46;5;9;0,043856633;0,048003536;15,71;15,71;26,3;26,3;13,21;11,87;13,1829892424959;11,6153417769716;0,0484060129767624
46;9;16;0,048003536;0,054161057;15,71;15,71;26,3;26,3;11,87;8,35;11,6153417769716;8,26473336335849;0,0555201842188413
46;16;22;0,054161057;0,02136283;15,71;15,71;26,3;26,3;8,35;5,12;8,26473336335849;4,7115391399443;0,0207741104947086
48;2;4;0,047500881;0,045364598;18,76;18,76;26,5;26,5;17,62;16,6;17,2006434157553;16,1935351483773;0,0436956114018527
48;4;6;0,045364598;0,040589377;18,76;18,76;26,5;26,5;16,6;15,77;16,1935351483773;15,26814498837;0,0388756950518391
48;6;9;0,040589377;0,053281411;18,76;18,76;26,5;26,5;15,77;14,32;15,26814498837;13,8749528643419;0,0501153874419996
48;9;13;0,053281411;0,054161057;18,76;18,76;26,5;26,5;14,32;11,8;13,8749528643419;11,7239355767661;0,0518483958570323
48;13;19;0,054161057;0,047877872;18,76;18,76;26,5;26,5;11,8;8,12;11,7239355767661;7,95027806724946;0,0466574376218607
48;19;22;0,047877872;0,011309734;18,76;18,76;26,5;26,5;8,12;5,44;7,95027806724946;5,74056886728743;0,0112563369125184
49;1,3;2;0,036316811;0,021111503;21,12;21,12;27,5;27,5;20,1;19,27;19,8052132913314;19,3236535405385;0,0210731130357867
49;2;4;0,021111503;0,053532739;21,12;21,12;27,5;27,5;19,27;18,01;19,3236535405385;18,2191211059574;0,0550786515253729
49;4;6;0,053532739;0,050014155;21,12;21,12;27,5;27,5;18,01;17,1;18,2191211059574;17,1641496911821;0,0491869963269864
49;6;8;0,050014155;0,043353979;21,12;21,12;27,5;27,5;17,1;16,32;17,1641496911821;16,2028822249625;0,0437742476567363
49;8;10;0,043353979;0,036693802;21,12;21,12;27,5;27,5;16,32;15,13;16,2028822249625;15,1575490867076;0,0386699088407073
49;10;13;0,036693802;0,046244244;21,12;21,12;27,5;27,5;15,13;13,29;15,1575490867076;13,407862166989;0,0482794536636741
49;13;17;0,046244244;0,044736279;21,12;21,12;27,5;27,5;13,29;10,65;13,407862166989;10,7836509817327;0,0461898968832239
49;17;23;0,044736279;0,032421236;21,12;21,12;27,5;27,5;10,65;5,31;10,7836509817327;6,23000134026014;0,0356980020397251
50;2;4;0,040212386;0,040086722;17,63;17,63;27,7;27,7;16,15;15,41;16,1412328065349;15,225021688042;0,0384459122272721
50;4;7;0,040086722;0,0495115;17,63;17,63;27,7;27,7;15,41;14,25;15,225021688042;13,9643317378069;0,0501381598910731
50;7;10;0,0495115;0,043982297;17,63;17,63;27,7;27,7;14,25;13,05;13,9643317378069;12,6975043382679;0,0419598462364531
50;10;14;0,043982297;0,044233625;17,63;17,63;27,7;27,7;13,05;11,12;12,6975043382679;10,7164845374536;0,0434275118341207
50;14;18;0,044233625;0,03154159;17,63;17,63;27,7;27,7;11,12;8,81;10,7164845374536;8,5081216999651;0,0293101422179798
50;18;24;0,03154159;0,023247786;17,63;17,63;27,7;27,7;8,81;4,84;8,5081216999651;4,55092233353034;0,0214066615213321
60;2;4;0,04272566;0,04272566;17,94;17,94;27,2;27,2;16,87;15,83;16,4352882252356;15,490501354055;0,0398744212923018
60;4;7;0,04272566;0,051899111;17,94;17,94;27,2;27,2;15,83;14,41;15,490501354055;14,1936882707804;0,0518822464014894
60;7;10;0,051899111;0,05629734;17,94;17,94;27,2;27,2;14,41;12,96;14,1936882707804;12,8671942129574;0,0432403477604851
60;10;15;0,05629734;0,039961059;17,94;17,94;27,2;27,2;12,96;10,13;12,8671942129574;10,2469071949334;0,0530773320096465
60;15;23;0,039961059;0,037322121;17,94;17,94;27,2;27,2;10,13;4,83;10,2469071949334;5,12592022585835;0,0397797098473029
61;2;4;0,047375217;0,044861943;19,52;19,52;26,8;26,8;17,54;16,67;17,8869513900444;16,8469674286867;0,0472335317806997
61;4;6;0,044861943;0,039584067;19,52;19,52;26,8;26,8;16,67;15,69;16,8469674286867;15,8804791648602;0,0420693560026007
61;6;9;0,039584067;0,051270792;19,52;19,52;26,8;26,8;15,69;14,2;15,8804791648602;14,4582911551005;0,0543148793311803
