arvore;matgen;dap;ht;hi;disc
1;AEC 0144;18,39;28,1;0,2;19,76
1;AEC 0144;18,39;28,1;0,7;18,11
1;AEC 0144;18,39;28,1;1,3;17,56
1;AEC 0144;18,39;28,1;2;17,63
1;AEC 0144;18,39;28,1;3;17,16
1;AEC 0144;18,39;28,1;4;16,49
1;AEC 0144;18,39;28,1;5;16,23
1;AEC 0144;18,39;28,1;6;15,55
1;AEC 0144;18,39;28,1;7;15,47
1;AEC 0144;18,39;28,1;8;14,74
1;AEC 0144;18,39;28,1;9;14,54
1;AEC 0144;18,39;28,1;10;14,19
1;AEC 0144;18,39;28,1;11;13,64
1;AEC 0144;18,39;28,1;13;12,77
1;AEC 0144;18,39;28,1;14;12,07
1;AEC 0144;18,39;28,1;15;11,46
1;AEC 0144;18,39;28,1;16;10,75
1;AEC 0144;18,39;28,1;17;10,3
1;AEC 0144;18,39;28,1;18;9,86
1;AEC 0144;18,39;28,1;19;9,22
1;AEC 0144;18,39;28,1;20;8,26
1;AEC 0144;18,39;28,1;22;7,76
1;AEC 0144;18,39;28,1;23;6,28
1;AEC 0144;18,39;28,1;25;5,01
2;AEC 0144;21,11;28,1;0,2;21,84
2;AEC 0144;21,11;28,1;0,7;19,75
2;AEC 0144;21,11;28,1;1,3;19,82
2;AEC 0144;21,11;28,1;2;19,54
2;AEC 0144;21,11;28,1;3;18,41
2;AEC 0144;21,11;28,1;4;18,02
2;AEC 0144;21,11;28,1;5;17,36
2;AEC 0144;21,11;28,1;6;17,47
2;AEC 0144;21,11;28,1;7;16,93
2;AEC 0144;21,11;28,1;8;16,37
2;AEC 0144;21,11;28,1;9;16,12
2;AEC 0144;21,11;28,1;10;15,47
2;AEC 0144;21,11;28,1;11;15,01
2;AEC 0144;21,11;28,1;12;14,51
2;AEC 0144;21,11;28,1;13;13,76
2;AEC 0144;21,11;28,1;14;13,33
2;AEC 0144;21,11;28,1;15;12,44
2;AEC 0144;21,11;28,1;16;12,05
2;AEC 0144;21,11;28,1;17;11,27
2;AEC 0144;21,11;28,1;18;10,88
2;AEC 0144;21,11;28,1;19;9,54
2;AEC 0144;21,11;28,1;20;8,78
2;AEC 0144;21,11;28,1;21;8,41
2;AEC 0144;21,11;28,1;22;7,52
2;AEC 0144;21,11;28,1;23;7,19
2;AEC 0144;21,11;28,1;24;6,09
2;AEC 0144;21,11;28,1;25;4,84
3;AEC 0144;15,76;26,2;0,2;16,36
3;AEC 0144;15,76;26,2;0,7;15,43
