arv;hi1;hi;l1;l2;xvisc
1;0,2;1,3;603;850;0,031038935
1;1,3;2;600;730;0,016336282
1;2;3;599;770;0,021488494
1;3;4;599;778;0,022493803
1;4;5;598;763;0,020734512
1;5;6;597;749;0,019100883
1;6;7;595;742;0,018472565
1;7;8;594;739;0,018221237
1;8;9;593;727;0,016838937
1;9;11;593;830;0,029782298
1;11;13;591;810;0,027520352
1;13;16;589;848;0,0325469
1;16;20;587;815;0,028651325
1;20;25;583;721;0,017341591
2;0,2;1,3;537;845;0,038704421
2;1,3;2;622;781;0,019980529
2;2;3;621;841;0,027646015
2;3;4;620;830;0,026389378
2;4;5;619;820;0,025258405
2;5;6;618;807;0,02375044
2;6;7;615;789;0,021865485
2;7;8;614;788;0,021865485
2;8;9;612;771;0,019980529
2;9;10;610;767;0,019729202
2;10;11;609;760;0,01897522
2;11;12;607;739;0,016587609
2;12;14;606;844;0,029907962
2;14;16;604;803;0,025007078
2;16;19;602;829;0,028525661
2;19;25;597;814;0,027269024
3;0,2;1,3;619;794;0,021991149
3;1,3;2;618;711;0,011686725
3;2;3;616;744;0,016084954
3;3;4;615;745;0,016336282
3;4;5;615;733;0,014828317
3;5;6;614;730;0,01457699
3;6;7;614;721;0,013446017
3;7;8;613;712;0,012440707
3;8;11;613;878;0,033300882
3;11;15;610;872;0,032923891
3;15;22;607;828;0,027771679
4;0,2;1,3;660;893;0,029279644
4;1,3;2;656;783;0,015959291
4;2;3;655;823;0,021111503
4;3;4;654;821;0,020985839
4;4;5;653;819;0,020860175
4;5;6;651;799;0,018598229
4;6;7;650;800;0,018849556
4;7;8;649;781;0,016587609
4;8;9;648;775;0,015959291
4;9;11;646;877;0,029028316
4;11;13;643;836;0,024253095
4;13;16;641;878;0,029782298
4;16;19;637;806;0,021237166
4;19;24;634;778;0,018095574
5;0,2;1,3;603;881;0,03493451
5;1,3;2;705;848;0,01796991
5;2;3;606;801;0,024504423
5;3;4;604;790;0,023373449
5;4;5;603;780;0,022242476
5;5;6;603;770;0,020985839
5;6;7;600;760;0,020106193
5;7;8;598;750;0,019100883
5;8;9;598;739;0,017718583
5;9;10;596;728;0,016587609
5;10;11;596;718;0,015330972
5;11;13;595;826;0,029028316
5;13;16;595;847;0,031667254
5;16;20;592;826;0,029405307
5;20;24;594;697;0,012943362
6;0,2;1,3;715;885;0,02136283
6;1,3;2;715;800;0,010681415
6;2;3;714;827;0,014199999
6;3;4;714;825;0,013948671
6;4;5;712;815;0,012943362
6;5;6;712;813;0,012692034
6;6;7;709;801;0,011561061
6;7;8;709;795;0,010807079
6;8;9;712;795;0,010430088
6;9;11;710;850;0,017592919
6;11;13;702;829;0,015959291
6;13;16;707;840;0,016713273
6;16;22;706;829;0,015456636
7;0,2;1,3;672;725;0,006660176
7;1,3;2;724;799;0,009424778
7;2;3;728;820;0,011561061
7;3;4;729;815;0,010807079
7;4;5;722;810;0,011058406
7;5;6;724;803;0,009927433
7;6;8;722;870;0,018598229
7;8;10;720;854;0,016838937
7;10;13;719;879;0,020106193
7;13;17;718;857;0,017467255
7;17;22;716;786;0,008796459
8;0,2;1,3;623;838;0,027017697
8;1,3;2;622;743;0,015205308
8;2;3;622;767;0,018221237
8;3;4;621;771;0,018849556
8;4;5;620;760;0,017592919
8;5;6;619;756;0,017215928
8;6;7;619;743;0,0155823
8;7;8;619;738;0,014953981
8;8;9;618;730;0,014074335
8;9;10;618;723;0,013194689
8;10;13;616;898;0,035437165
8;13;16;615;830;0,027017697
8;16;23;613;867;0,031918581
9;0,2;1,3;600;816;0,027143361
9;1,3;2;600;719;0,014953981
9;2;3;599;765;0,020860175
9;3;4;598;750;0,019100883
9;4;5;597;745;0,018598229
9;5;6;596;740;0,018095574
9;6;7;595;728;0,016713273
9;7;9;595;839;0,030661944
9;9;11;592;805;0,026766369
9;11;14;590;857;0,03355221
9;14;18;589;843;0,031918581
9;18;22;587;725;0,017341591
10;0,2;1,3;624;851;0,028525661
10;1,3;2;621;744;0,015456636
10;2;3;619;816;0,02475575
10;3;4;621;765;0,018095574
10;4;5;624;754;0,016336282
10;5;6;623;750;0,015959291
10;6;8;621;857;0,029656635
10;8;10;618;824;0,025886723
10;10;13;617;873;0,032169909
10;13;16;615;809;0,024378759
10;16;22;612;819;0,026012387
11;0,2;1,3;700;856;0,019603538
11;1,3;2;698;794;0,012063716
11;2;3;697;825;0,016084954
11;3;4;695;801;0,013320353
11;4;5;695;799;0,013069025
11;5;6;694;785;0,011435397
11;6;7;694;786;0,011561061
11;7;9;693;858;0,020734512
11;9;12;690;900;0,026389378
11;12;16;689;895;0,025886723
11;16;20;685;806;0,015205308
12;0,2;1,3;718;838;0,015079645
12;1,3;2;717;788;0,008922123
12;2;3;710;795;0,010681415
12;3;4;709;799;0,011309734
12;4;5;709;778;0,008670796
12;5;6;708;773;0,008168141
12;6;9;708;885;0,022242476
12;9;13;701;878;0,022242476
12;13;18;702;811;0,013697344
13;0,2;0,7;506;684;0,02236814
13;0,7;1,3;504;657;0,019226547
13;1,3;2;504;726;0,027897343
13;2;3;502;814;0,039207076
13;3;4;501;757;0,032169909
13;4;5;500;723;0,028023006
13;5;6;499;709;0,026389378
13;6;7;499;696;0,02475575
13;7;8;497;687;0,023876104
13;8;10;495;842;0,043605306
13;10;12;494;792;0,037447784
13;12;15;492;865;0,046872562
13;15;19;490;844;0,044484952
13;19;24;486;700;0,026892033
14;0,2;1,3;446;716;0,033929201
14;1,3;2;459;566;0,013446017
14;2;3;413;585;0,021614157
14;3;6;459;885;0,053532739
14;6;9;456;791;0,042097342
14;9;13;454;778;0,040715041
14;13;20;450;727;0,034808847
15;0,2;1,3;444;808;0,045741589
15;1,3;2;437;651;0,026892033
15;2;3;436;757;0,04033805
15;3;4;435;692;0,032295572
15;4;5;434;683;0,031290263
15;5;6;435;666;0,029028316
15;6;7;432;658;0,028399998
15;7;9;431;839;0,051270792
15;9;11;429;781;0,044233625
15;11;14;426;881;0,057176986
15;14;18;423;772;0,043856633
15;18;24;421;812;0,049134509
16;0,2;1,3;644;850;0,025886723
16;1,3;2;642;778;0,017090264
16;2;3;588;721;0,016713273
16;3;4;585;726;0,017718583
16;4;5;585;725;0,017592919
16;5;6;584;709;0,015707963
16;6;7;595;742;0,018472565
16;7;9;592;824;0,02915398
16;9;11;591;780;0,02375044
16;11;13;587;765;0,02236814
16;13;16;585;810;0,028274334
16;16;20;583;779;0,024630086
16;20;24;579;679;0,012566371
17;0,2;2;595;855;0,032672564
17;2;4;594;843;0,031290263
17;4;6;594;811;0,027269024
17;6;9;592;868;0,034683183
17;9;13;590;863;0,034306192
17;13;20;586;826;0,030159289
18;0,2;3;537;796;0,0325469
18;3;7;535;836;0,037824776
18;7;15;530;881;0,044107961
18;15;19;526;600;0,009299114
19;0,2;2;525;843;0,039961059
19;2;4;522;824;0,037950439
19;4;6;519;788;0,033803537
19;6;9;518;866;0,04373097
19;9;13;516;876;0,045238934
19;13;19;514;854;0,04272566
19;19;23;598;655;0,007162831
20;0,2;1,3;560;823;0,033049555
20;1,3;2;559;712;0,019226547
20;2;3;556;769;0,026766369
20;3;4;555;757;0,025384069
20;4;5;555;740;0,023247786
20;5;6;553;743;0,023876104
20;6;8;552;883;0,041594687
20;8;10;552;841;0,036316811
20;10;12;549;803;0,031918581
20;12;15;546;842;0,037196457
20;15;22;544;868;0,040715041
21;0,2;1,3;582;796;0,026892033
21;1,3;3;581;868;0,036065484
21;3;5;579;874;0,037070793
21;5;7;576;849;0,034306192
21;7;9;575;809;0,029405307
21;9;12;574;871;0,037322121
21;12;16;570;863;0,036819466
21;16;22;567;776;0,026263715
22;0,2;0,7;545;727;0,022870795
22;0,7;1,3;545;711;0,020860175
22;1,3;2;397;597;0,025132741
22;2;3;390;684;0,03694513
22;3;4;393;672;0,035060174
22;4;5;572;831;0,0325469
22;5;6;571;821;0,031415927
22;6;7;568;790;0,027897343
22;7;8;561;785;0,02814867
22;8;9;564;769;0,02576106
22;9;10;561;757;0,024630086
22;10;11;561;741;0,022619467
22;11;13;561;865;0,038201767
22;13;15;559;805;0,030913272
22;15;18;558;825;0,03355221
22;18;23;555;764;0,026263715
24;0,2;1,3;550;826;0,034683183
24;1,3;2;413;575;0,02035752
24;2;3;414;648;0,029405307
24;3;4;412;669;0,032295572
24;4;6;411;796;0,048380527
24;6;8;408;749;0,042851324
24;8;11;405;855;0,056548668
24;11;15;404;803;0,050139819
24;15;22;401;711;0,038955749
25;0,2;1,3;543;755;0,026640706
25;1,3;3;541;709;0,021111503
25;3;4;540;711;0,021488494
25;4;5;540;709;0,021237166
25;5;7;538;814;0,034683183
25;7;10;537;892;0,044610616
25;10;14;534;896;0,045490262
25;14;23;529;891;0,045490262
26;0,2;2;504;908;0,050768137
26;2;4;503;897;0,0495115
26;4;6;502;827;0,040840704
26;6;9;502;905;0,050642474
26;9;12;499;823;0,040715041
26;12;15;497;743;0,030913272
26;15;23;497;820;0,040589377
27;0,2;2;490;789;0,037573448
27;2;4;489;768;0,035060174
27;4;7;487;850;0,045615925
27;7;11;485;864;0,047626545
27;11;14;482;676;0,024378759
27;14;21;481;719;0,029907962
28;0,2;1,3;554;825;0,034054864
28;1,3;3;550;904;0,044484952
28;3;4;550;750;0,025132741
28;4;6;549;878;0,041343359
28;6;8;549;841;0,036693802
28;8;10;549;803;0,031918581
28;10;13;545;854;0,038830085
28;13;17;542;832;0,036442475
28;17;24;538;757;0,027520352
29;0,2;4;518;879;0,045364598
29;4;9;515;880;0,045867253
29;9;19;513;879;0,045992916
30;0,2;3;475;887;0,051773447
30;3;6;473;828;0,044610616
30;6;10;472;842;0,046495571
30;10;14;470;726;0,032169909
30;14;21;466;681;0,027017697
31;0,2;2;446;770;0,040715041
31;2;4;445;746;0,037824776
31;4;7;442;833;0,049134509
31;7;12;439;892;0,056925659
31;12;21;437;811;0,046998226
32;0,2;2;463;798;0,042097342
32;2;4;461;772;0,039081413
32;4;7;459;854;0,049637164
32;7;10;457;774;0,039835395
32;10;14;453;765;0,039207076
32;14;21;452;713;0,032798227
33;0,2;1,3;535;837;0,037950439
33;1,3;2;534;711;0,022242476
33;2;3;534;757;0,028023006
33;3;4;533;756;0,028023006
33;4;5;530;730;0,025132741
33;5;6;529;712;0,022996458
33;6;8;528;865;0,042348669
33;8;10;528;820;0,036693802
33;10;13;526;875;0,043856633
33;13;17;524;860;0,042223005
33;17;25;520;795;0,034557519
34;0,2;0,2;536;687;0,01897522
34;0,2;0,7;536;645;0,013697344
34;0,7;2;354;669;0,039584067
34;2;3;533;704;0,021488494
34;3;4;530;709;0,022493803
34;4;5;529;699;0,02136283
34;5;6;529;679;0,018849556
34;6;8;529;817;0,036191147
34;8;10;528;779;0,03154159
34;10;13;523;832;0,038830085
34;13;17;522;814;0,036693802
34;17;24;522;770;0,031164599
35;0,2;2;484;847;0,045615925
35;2;3;479;648;0,021237166
35;3;4;479;645;0,020860175
35;4;5;478;628;0,018849556
35;5;6;477;721;0,030661944
35;6;9;475;865;0,049008845
35;9;12;472;781;0,038830085
35;12;16;468;770;0,037950439
35;16;23;464;722;0,032421236
36;0,2;2;529;801;0,034180528
36;2;3;526;666;0,017592919
36;3;6;526;765;0,030033626
36;6;9;523;837;0,039458404
36;9;12;519;784;0,033300882
36;12;16;515;776;0,032798227
36;16;23;512;737;0,028274334
37;0,2;0,7;529;704;0,021991149
37;0,7;1,3;529;644;0,014451326
37;1,3;2;555;711;0,019603538
37;2;3;554;750;0,024630086
37;3;4;553;744;0,024001768
37;4;5;554;738;0,023122122
37;5;6;552;714;0,02035752
37;6;7;552;717;0,020734512
37;7;8;552;705;0,019226547
37;8;9;551;690;0,017467255
